Title,Plot
The Empire Strikes Back,"Three years after the destruction of the Death Star, the Rebel Alliance has been driven from their former base on Yavin IV by the Galactic Empire. The rebels, led by Princess Leia, have set up a new base on the ice planet Hoth. The Imperial fleet, led by Darth Vader, continues to hunt for the Rebels' new base by dispatching probe droids across the galaxy. Luke Skywalker is captured by a wampa while investigating one such probe, but he manages to escape from the wampa's cave with his lightsaber. Before Luke succumbs to the freezing temperatures, the spirit of his late mentor, Obi-Wan Kenobi, instructs him to go to the Dagobah system to train under Jedi Master Yoda. Luke is found by Han Solo, where they cut open a Tauntaun (that Han rode on) to keep warm inside, and the duo is eventually rescued by a search party. Meanwhile, the probe alerts the Imperial fleet to the rebels' location. The Empire launches a large-scale attack, using AT-AT Walkers to capture the base, which forces the rebels to retreat. Han and Leia escape on the Millennium Falcon with C-3PO and Chewbacca, but the ship's hyperdrive malfunctions. They hide in an asteroid field, where Han and Leia grow closer and eventually kiss. Vader summons bounty hunters to assist in finding the Falcon. Luke, meanwhile, escapes with R2-D2 in his X-wing fighter and crash-lands on the swamp planet Dagobah. He meets a diminutive creature who reveals himself to be Yoda; after conferring with Obi-Wan's spirit, Yoda reluctantly accepts Luke as his student. After evading the Imperial fleet, Han's group travel to the floating Cloud City on the planet of Bespin, which is run by Han's old friend, Lando Calrissian. Unbeknownst to the group, the bounty hunter Boba Fett tracks the Falcon; shortly after their arrival, Lando leads the group into a trap and they are handed over to Darth Vader and Boba Fett. Vader plans to use the group as bait to lure out Luke, intending to capture him alive and take him to Emperor Palpatine. Luke sees a premonition of Han and Leia in pain and, against the wishes of Yoda and Obi-Wan, abandons his training to rescue them. Vader intends to hold Luke in suspended animation via carbon freezing and selects Han to be frozen as a test subject. Han survives the process and is given to Fett, who intends to deliver Han to Jabba the Hutt. Lando initiates an escape and frees Leia and the others, but they are too late to stop Fett from departing with Han. They fight their way back to the Falcon and flee Cloud City. Meanwhile, Luke arrives at Cloud City and engages with Vader in a lightsaber duel that leads them over the city's central air shaft. Vader severs Luke's right hand, disarming him; when Luke refuses to join Vader against the Emperor, accusing him of murdering his father, Vader reveals that he, in fact, is his father. Horrified by the truth, Luke intentionally falls into the air shaft and is ejected beneath the floating city, where he grabs onto an antenna. He makes a telepathic plea to Leia, who senses it and persuades Lando to return for him in the Falcon. After Luke is brought on board, they are chased by TIE fighters and Vader on his star destroyer, but R2-D2 reactivates the Falcon's hyperdrive, allowing them to escape. Aboard a medical frigate in the Rebel fleet, Luke's severed hand is replaced with a robotic hand. Lando and Chewbacca set off for Tatooine in the Falcon in order to find Jabba the Hutt and save Han. As the Falcon departs, Luke, Leia, R2-D2, and C-3PO gaze out on the galaxy and await word from Lando."
Poi,"Valluvanar (Avinash) is an upright political leader in Tamil Nadu much respected for his honesty and uprightness and he refuses to compromise on this trait even when his only son Kamban (Uday Kiran) finds himself in jail for no fault of his. The opposition party takes advantage of the situation and bails out Kamban, who joins this party much to his father's embarrassment. The media laps it up sensationalizing it further. Then Kamban decides to leave the country until things cool down. Only his mother Vasuki with whom he is close is aware of this plan. Kamban arrives at Sri Lanka where he be-friend's Banerjee, a Bengali and Kamban stays with him. One day he finds a Tamil literary book on the beach which he traces to Shilpa the owner of the book. Shilpa (Vimala) is a college student preparing for the civil services examination. The film juggles between reality and fiction, where Theepori, the fictitious father image of Kamban advises him to fall in love. That sets in rolling the love story as Kamban persists in wooing Shilpa. She is staying with her brother's family. Shilpa is keen on realizing her ambitions and feels that love and marriage often comes in the way of women's career. The rest of the story is about the emotional conflict between her career and love. After Kamban's mother Vasuki's death, Valluvanar reaches Sri Lanka. Kamban is unaware of his mothers death. Shilpa's family meets Valluvanar. Meanwhile Kambam goes to meet Shilpa to handover the passport but due to his friend's lie he ends up thinking Shilpa committed suicide. How the lie told to reunite the lovers gives the tragic end is the end of the story."
His Woman,"While docked in a Caribbean port aboard a third-rate freighter, Captain Sam Whalan (Gary Cooper) gets involved in a drunken brawl in a seedy tavern. Returning to the ship, Sam discovers that a baby boy, rescued from a drifting Navy boat, has been left for an unnamed sailor aboard his ship. Deciding to adopt the child himself, Sam advertises for a ""mother"" and soon hires Sally Clark (Claudette Colbert) as the child's nanny in exchange for her passage to New York. Sally tells him she is the daughter of a recently deceased missionary. Unknown to Sam, Sally is actually a dance hall girl dressed to appear virtuous and proper. During the voyage, Sally takes loving care of the child while Sam protects her from the lusty sailors on board. One night, the first mate, Gatson (Averell Harris), recognizes Sally from a dance hall and tries to blackmail her into sleeping with him. Sally struggles to reject his advances, and Sam comes to her rescue. In the ensuing struggle, Gatson falls overboard. Unable to locate him in the dense fog, he is assumed dead. By the time they arrive in New York, Sam and Sally have fallen in love and intend to marry. The Department of Commerce, however, calls Sam to testify in an investigation of the Gatson incident, and he is soon arrested. Sam and Sally are surprised to learn that Gatson survived, was picked up by a cruise ship, and is now pressing charges against Sam for assault and attempted murder. In the course of the investigation, in order to clear Sam of the charges, Sally is forced to reveal her sordid past as a dance hall girl. Shocked and disappointed by the revelation, Sam tells Sally to leave the ship, and decides to put the baby up for adoption, despite Sally's sincere protests. After sending his assistant Aloysius (Hamtree Harrington) to deliver Sally's luggage, Sam goes off drinking with Gatson. Later that night, a vengeful Sam brings Gatson to Sally's apartment to insult her. When she learns from another sailor that the baby was left out in the rain and is now sick, she immediately comes to care for the infant with the help of a doctor. Sam postpones his next sailing mission until the child's fever breaks and he begins to recover. By the time the baby is well and the ship pulls up anchor, Sam and Sally have made amends and renew their plans to marry."
Dictator,"Chandu (Balakrishna Nandamuri) works at Dharma Mart as a special in charge. He is living with his wife Katyayani’s (Anjali) family in Hyderabad and everyone thinks that Katyayani is working in Delhi. Aspiring actress Indu (Sonal Chauhan) befriends Chandu. She is in trouble because Hyderabad Don (Vikramjeet Virk) is hunting for her brother (Rajiv Kanakala). When she is kidnapped, Chandu locks horns with the Don (Vikramjeet Virk) and this gets him in direct enmity with Minister Goverdhan Rao (Madhu) and corrupt Police officer Prabhakar (Ajay). Meanwhile, one of the colleague of Chandu, Babji (Kasi Viswanath) steals some money from supermarket’s account for his daughter’s marriage but Chandu takes the blame on him. He is arrested and gets the attention of company Chairman Rajashekar Dharma (Suman), then his uncle Lakshmi Narayana (Nassar) and his family demands for the truth. Things change as Rajashekar reveals the true identity of Chandu as Chandrashekar Dharma The Dictator, Chairman of Dharma group of companies. Chandrasekhar Dharma is one of the big shots in India, who fights against the mafia, eliminates all the gangsters and protects all businessmen in Delhi as a Dictator. Once he meets Katyayani, one of the employees in his companies. Both of them fall in love since Katyayani’s father Lakshmi Narayana doesn’t like rich people she introduces him as her co-employee Chandu and they get married. After sometime Chandrasekhar Dharma locks horns with a powerful lady Mahima Roy (Rati Agnihotri) who is responsible for killing the Hari Prasad (Kulbhushan Kharbanda) father figure of Chandrasekhar, by her son-in-law Viswambhar (Nawab Shah). Mahima Roy kidnaps the family members of Chandrasekhar and forces Chandrasekhar to arrive at her house. Mahima at first asks Chandrasekhar to fall at her feet. Mahima then receives calls from her relatives all over the world, Chandrasekhar later revealing that he has kidnapped all of his relatives across the world, proving his network. Chandrasekhar decides to kill Viswambhar and orders his men to kill him. Mahima Roy makes an attack on Chandrasekhar and in the fight his wife Katyayani gets stabbed by Mahima's men. On his wife's request Chandrasekhar leaves Delhi and changes his identity to live as a common man. It is then revealed by Rajasekhar that Viswambhar is still alive, two of Chandrasekhar's men having betrayed him. One of Chandrasekhar's family members (Sayaji Shinde), his uncle, who had turned against him in the past, goes to Viswambhar and informs him that Chandrasekhar is going to conduct necessary rites for the dead Hariprasad and it would be a good opportunity to kill him. When Viswambhar arrives at the spot along with his men to kill Chandrasekhar. it is revealed that Sivaram (Sayaji Shinde) had sided with Chandrasekhar to bring Viswambhar out of his hiding. Chandrasekhar then kills Viswambhar and his gang and then forces Mahima Roy to leave the country, warning her for the last time that if she comes back to India, she will suffer the same fate as her son-in-law. Chandrasekhar then returns as Chandrasekhar Dharma, the Dictator, chairman of the industrialist's association of Delhi."
The Hounds of Notre Dame,"The Hounds of Notre Dame is about 36 hours in the life of Père Athol Murray, a hard-drinking, chain-smoking Catholic priest, teacher, political activist and coach of the school hockey team, The Hounds. Peacocke gives a powerful performance as Murray, who defies his superior and gives anti-CCF (Co-operative Commonwealth Federation) speeches in 1940s Saskatchewan. The film received outstanding reviews and Peacocke won a Genie Award for best actor, but it received only limited distribution and came to symbolize the problems inherent in producing quality Canadian features.[1]"
Donga Dongadi,"Vasu (Manoj Manchu) is a strong willed reckless guy. He spends most of his time hanging out with his friends, who belong to the same flock. He loves his father (Manikka Vinayagam) and his brother (Rajiv Kanakala) very dearly. His brother is different from him that he is responsible and studious. He ignores his father's words of wisdom and is regularly chided by his father as a good-for-nothing guy. In one such incident he loses the trust and faith of his father as he gets involved in teasing a girl called Vijji (Sadha). That incident makes Vasu realize the importance of having good relationship with his father, but his father asks him to prove himself as a responsible man. Vasu travels to Vizag from Tirupati in search of a job. In Vizag, he incidentally meets Vijji again. Meanwhile, there is another girl Pooja (Varshita), who is madly in love with Vasu. With Vasu out to prove a point to his father, finally convinces him and in the process also wins the hand of the heroine. By the end, he also realizes the importance of family values and his love for Vijji."
Legend of the Wolf,"In legend, there is a powerful and undefeated warrior known as the Wolf. This fighter has retired from the martial arts world and very few people know his true identity, but they are many who wish to challenge him. A young man seeks the Wolf and manages to contact Wai, who leads him to the warrior. When the young man sees that the Wolf (real name Fung Man-hin) is an old man, far from what he expected, he makes some sarcastic remarks to ridicule the old man, prompting Wai to retell the story of the Wolf. The film flashbacks to a post-World War II period. The young Fung is wandering around a war-torn and ravaged farming village, faintly remembering that he is there to meet a woman at an abandoned temple. Fung encounters the young villager Wai, who leads him to his destination. The villagers are suspicious about Fung's background and follow him to the temple, where they see Fung engaging six members of a notorious gang in a fierce fight. Although Fung manages to defeat his opponents, he is severely injured and Wai brings him to a quiet spot for recovery. Just then, Fung remembers that the woman he is meeting is actually his lover, Yee. In the meantime, the gangsters attack the village and kill many innocent people. When Fung and Wai arrive on the scene, they see corpses everywhere and learn that Yee has been captured by the gang. Fung pursues the gangsters and meets the second leader of the gang, who calls him ""Third brother"". At that point, Fung suddenly remembers that he is actually part of the gang. Fung is unable to tolerate the gang's cruel acts towards innocent civilians and he fights with the gangsters, emerging victorious eventually. The film moves back to the present-day conversation between Fung (old man), Wai and the young man. The young man reveals that he is actually an upstart killer, and wishes to make his name by slaying the legendary Wolf. He draws his gun and attempts to kill the Wolf, but does not succeed and is defeated by the Wolf immediately."
Harley Davidson and the Marlboro Man,"In the near future, Harley Davidson (Mickey Rourke) travels from Texas to Burbank, California to reconnect with his old friend Robert ""Marlboro Man"" Anderson (Don Johnson) at their old haunt; Rock N' Roll Bar & Grille. Their mutual friend Jack Daniels (Big John Studd) holds animosity towards Harley over an affair he and his now-wife Lulu (Vanessa Williams) had years prior. The bar has fallen on hard times, and the Great Trust bank has threatened foreclosure, planning to demolish the building to make way for a skyscraper. Harley and Robert convince Jack to help them rob one of the Bank's armoured cars in order to collect the funds necessary to renew the building's lease. The robbery most goes off without a hitch, but the trio are intercepted by a group of security agents who almost foil their getaway. Upon escaping, they discover the loot they stole from the van contains not money, but a new, experimental street drug called ""Crystal Dream."" The bank's head of security Alexander (Daniel Baldwin) is ordered by CEO Chance Wilder (Tom Sizemore) to recover the stolen drugs and kill the thieves. Meanwhile, Robert is pulled over for speeding by a motorcycle cop; his ex-lover Virginia Slim (Chelsea Field). The two spend the night together, during which Robert learns that she's engaged. Harley takes Virginia to breakfast the next morning, during which she tells him that Crystal Dream is 100% addictive and causes lasting neurological damage and, eventually, death. Robert, fuming about Virginia's upcoming marriage, steals her fiancé's motorcycle. He and Harley go to the bank's headquarters and talk to Wilder via telephone. They demand $2.5 million in exchange for the drugs. Wilder agrees to have someone meet them that night in the airplane graveyard for the exchange. Alexander shows up with the money and the transfer goes off without any problems. That night, while they hang out in the bar's back room celebrating, Marlboro is suspicious of the ease of the exchange. Suddenly, Alexander and his men show up. Watching through a one-way mirror, the owner (Julius Harris) tries to convince them that the gang isn't there. Alexander appears to walk away as if to leave and suddenly turns around and shoots him. They open fire on the room behind the mirror; Harley and Marlboro are the only ones who escape alive as the others are cut down in brutal fashion. The two retreat to the nearby airport and hide in the baggage compartment of a plane. One of the agents nearly finds them but they escape to Las Vegas, where they check into a hotel, only to be tracked down by Alexander. The two escape to the hotel's roof and jump off into the swimming pool. Harley finds out that they've been tracked with a device hidden in the dollar coin given to them by Alexander. The two hop a freight train headed east after deactivating the tracker, but Marlboro leaves after telling Harley that they owe it to the dead friends that helped them to go back to LA and settle things. Harley refuses to go and Marlboro jumps off the train. Harley has a change of heart, and catches up with Marlboro and they form a plan to meet with Alexander, reactivating the tracker in the coin. Alexander traces them to the airplane graveyard, finding the briefcase that contained the money but only finding the dollar coin inside. However, he sights Harley and Marlboro nearby and a gunfight ensues. Marlboro is able to kill both of Alexander's two remaining men, however, Alexander catches Marlboro and holds him hostage. Harley tries to shoot Alexander and misses, hitting Marlboro. Harley finally summons up the aim to hit Alexander and the two finally manage to kill him. The duo bribe Alexander's helicopter pilot into taking them to Wilder's office. They give Wilder his money back and demand he change the lease on the bar. Wilder is unwilling to do so and orders his men to kill them when the pilot, paid off by Harley and Marlboro, appears hovering in his chopper outside. He opens fire on the office with the chopper's cannon, killing Wilder's thugs. Wilder insults Marlboro's dead father; Marlboro begins to beat him up until Wilder dangles out the window of his office, holding onto Marlboro's disintegrating cowboy boot. Harley helps him out, the boot comes apart and Wilder falls to the street. Marlboro and Harley part ways at a rodeo, where Marlboro is riding a bull. As Harley rides away, he picks up a beautiful hitchhiking woman."
A Taste of Killing and Romance,"Ice (Christine Ng), the leader of the killer organisation, sets a rule that whoever failed to achieve a task must die. Her underlings include her right-hand man Ko Sau (Andy Lau), nicknamed ""Judge"". During a mission, Ko Sau meets a fellow newcomer Yu-fung (Anita Yuen). During that time, he develops feelings for her. However, due to his lonely personality and the principles of an assassin career, it stalls the relationship. Despite this, they are still able to spend happy times together. During another mission, Ko Sau fails to complete the task when he saves a child. He apologizes to Ice and is willing to work unconditionally for her. However, Ice is determined to stick to the rules and sends Yu-fung to kill Ko, which Yu-feng is reluctant to do. On the other hand, hard boiled police inspector Tung Fai (Waise Lee) has gathered evidence of the organisation and holds a large scale hunt for Ko Sau and Ice's bodyguard Wong Cheung (Mark Cheng), who swears to kill Ko for revenge from a gunshot wound Ko had inflicted on him earlier. Under a lone and weak environment, with enemies all around him, Ko Sau and Yu-fung's relationship is also severely tested."
Red Planet Mars,"An American astronomer obtains images of Mars suggesting large-scale environmental changes are occurring at a pace that can only be accomplished by intelligent beings with advanced technology. At the same time a colleague claims to have been contacting Mars by radio, using technology stolen from the Nazis after World War II. He communicates first through an exchange of mathematical concepts, like the value of pi, and then through answers to specific questions about Martian life. The transmissions claim that Mars is a utopia, which has led to great technological advancement and the elimination of scarcity, but that there is no fear of nuclear war. This revelation leads to political and economic chaos, especially in the Western hemisphere, and is said to have ""done more to smash the democratic world (or Capitalist?) in the last four weeks than the Russians have been able to do in eleven years.""[1] The U.S. government imposes a news blackout and orders the transmissions to stop due to fears that the Soviet Union could pick up and decode their messages. This ends when the next message reveals that the Earth is condemned to the constant fear of nuclear war as a punishment for straying from the teachings of the Bible. Revolution sweeps the globe, including the Soviet Union, which is overthrown and replaced by a theocracy, which is met with celebration in America. But doubts about the authenticity of the messages remain. An ex-Nazi who developed the original communication device prototype wants to announce that he has been duping the Americans with false messages from a secret Soviet-funded radio transmitter high in the Andes mountains of South America. He says that he transmitted the original messages supposedly from Mars, but that the United States government made up the religious messages, which he allowed because he wanted to see the destruction of the Soviet Union. The mystery thickens as it appears the messages may have continued even after the secret transmitter was destroyed in an avalanche, but the American transmitter is blown up before the message can be received."
Masoom,"Indu (Shabana Azmi) and DK (Naseeruddin Shah) have a happy marriage and two daughters — Pinky and Minni — and live in Delhi. The tranquility of their life is interrupted when DK receives word that he has a son, the result of an affair with Bhavana (Supriya Pathak) during his 1973 visit to Nainital when his wife Indu was about to give birth to their first child Pinky (Urmila Matondkar). Bhavana did not tell DK about their son as she did not want to disturb DK's matrimonial life. Now that she has died, her guardian Masterji sends word to DK informing him that his son, Rahul (Jugal Hansraj), who is nine years old, needs a home. Despite the objections of Indu, who is devastated to learn of her husband's infidelity, DK brings the boy to stay with them in Delhi. Rahul is never told that DK is his father as he bonds with DK and his daughters. But Indu can't bear to look at him, a tangible reminder of DK's betrayal. DK, worried by the effect Rahul is having on his family, decides to put him in a boarding school in St. Joseph's College, Nainital; Rahul accepts with reluctance. After gaining admission at the school and returning to Delhi before his permanent move to Nainital, Rahul figures out that DK is his father and runs away from home. After he is escorted home by a police officer, Rahul confesses his awareness of the identity of his father to Indu. Indu is unable to bear his heartbreak and intercepts Rahul before he is put on the train to Nainital, thereby accepting him into the family and wholeheartedly forgiving DK, after which they drive home happily."
Girls Will Be Boys,A young woman dresses up as a boy to fool a wealthy misogynist.
New Morals for Old,"Mr. and Mrs. Thomas are affluent New Yorkers who are unhappy that their adult children, Ralph Thomas (Robert Young) and Phyl Thomas (Margaret Perry), spend so many evenings at parties instead of spending time with family. Their disapproval deepens when they discover both children want to move out to pursue lifestyles that the parents deem unacceptable: Phyl moves into her own apartment so that she can conduct an affair with a married man, Duff Wilson (David Newell). Her brother, Ralph, goes to Paris to pursue his dream of being a painter, thus disappointing his father who expected him to remain in the family wallpaper business. Mrs. Thomas repeatedly tries to invoke guilt in both children for not being with her, especially after Mr. Thomas dies of a stroke. Eventually, Phyl marries her paramour and Ralph returns to New York, having failed as an artist. Mrs. Thomas dies shortly after Ralph’s return. At the end of the film, Phyl, her twin infants, her husband Duff, and her brother Ralph are all living in the family home, with a newfound appreciation for the benefits of family life. In the film’s last scene, Ralph and Duff are laughing together about how Phyl has evolved into a protective maternal figure, much like her own mother."
Miss Sadie Thompson,"A bar girl from Hawaii, a religious zealot and a love-struck Marine struggle with sin and salvation just after World War II while Sadie Thompson kicks out several songs, including the Oscar-nominated ""Blue Pacific Blues""."
The Twins Effect II,"The film is set in Flower Capital, a land ruled by an evil queen (Qu Ying), who started hating men after her lover, High Priest Wei Liao (Daniel Wu), betrayed her. All men in the kingdom are slaves to women. However, a prophecy foretells that one day, the Star of Rex will find and wield a mythic sword, rise to power, overthrow the queen, and restore the balance of the two sexes. At the start of the movie, Crouching Tiger Hidden Dragon (Donnie Yen), a master swordsman who has made it his quest to overthrow the queen's regime, has commissioned Peachy (Edison Chen) to steal for him a certain engraved stone from the queen's palace. Peachy is successful, but the queen's soldiers and spies pursue him. Before the stone can be recaptured, it comes into the possession of Peachy's two friends Charcoal Head (Jaycee Chan) and Blockhead (Bolin Chen), who like Peachy earn a humble living by street-performing in a troupe led by their adoptive father, Blackwood. The brothers set out to deliver the stone to Crouching Tiger Hidden Dragon, along the way discovering the stone is actually a map, which they assume will lead them to riches. Before they can meet Crouching Tiger Hidden Dragon, they are intercepted by two lovely, but lethal, female warriors, Spring (Charlene Choi) and Blue Bird (Gillian Chung), each of whom is pursuing the pair for different reasons. The four agree to follow the map together, eventually learning that the map leads to the mythic sword and that either Charcoal Head or Blockhead is the Star of Rex. The journey takes them through dangerous terrain, culminating in an encounter with the Lord of Armour (Jackie Chan) who guards the way to the sword. Even as the four make their way toward the sword, the queen is preparing for their destruction, using her army and her powerful magic. A final battle will decide the fate of the land."
Kikaider Reboot,"In the near future, the Japanese government develops the ARK Project, led by Dr. Nobuhiko Kohmyoji, to create androids to help public citizens. Two prototypes are constructed: one by Dr. Kohmyoji, Jiro/Kikaider, an android built with an experimental Conscience Circuit, and another by Professor Gilbert Kanzaki, Mari, a combat-based android. Dr. Kohmyoji mysteriously dies and his children, Mitsuko and Masaru are suddenly targeted by Japan's Defense Minister. Jiro comes to their aide and vows to protected them, a final request from Dr. Kohmyoji. Masaru becomes fond of Jiro but Mitsuko becomes wary of him. Mari eventually finds Jiro and nearly destroys him but spares him after Mitsuko and Masaru agree to go with her without resistance. A data chip is then retrieved from within Masaru's body, containing all of Dr. Kohmyoji's research. The Defense Minister then turns the ARK Project into the DARK Project (Developing Advanced Research by Kohmyoji) and forces Professor Gil to complete his work. Jiro is then attacked by another android named ""Hakaider"", who is revealed to be Professor Gil, having surgically placed his brain within an android body. Hakaider proceeds to destroy the ARK Project facility where he is counter-attacked by Jiro. Mitsuko tries to stop him from fighting but Jiro finally realizes his own free-will and chooses to protect by fighting. Jiro manages to defeat Hakaider but at the cost of his life. Mitsuko vows to one day rebuild him. In a post-credit scene, the Defense Minister, having escaped the demise of the facility with Mari, confirms the official start of the true android project."
Vettam,"A police officer (Radha Ravi) is on Gopi (Dileep) trail. Gopi is a petty thief and he had stolen a precious chain and is on the run. While on the run Gopi meets Veena (Bhavna Pani). Veena is on her way to break the marriage of her lover to a tycoon's daughter. Due to a certain circumstance Gopi has to hide the chain in Veena's bag but later discovers that it is missing. Gopi suspects that the chain is still with Veena and so he accompanies her in her journey. Their journey comes to a halt when Gopi is forced to jump off the train, because of Veena. Veena had gone to get some water and she missed the train. Veena realises that place was Gopi's hometown. When Gopi's sister (Sona Nair) realises that he was in town, she comes and informs him that his younger sister's marriage is fixed. Veena's opinion of Gopi changes when she realised the reason why he was a thief. Gopi calls off his younger sister's marriage when he realised that there was a catch in it. Gopi promises that he will find a better groom for his sister and he just needs more time. Gopi realises that Veena didn't have the chain with her at all. In order to fulfill his promises, Gopi sets off to find some money to fund his sister's wedding and to regain all the lost family properties. Veena proposes a bargain and Gopi, once again, sets off with Veena in order fulfill Veena's wishes of marrying her lover. At the same time, Mani (Kalabhavan Mani) runs away with his lover and all of them meet up.Both Veena and Gopi stay at the hotel in Ooty where Veena's lover Felix is staying and plans to get engaged. Then there is series of funny events among the other guests of the hotel. Gopi talks to Felix about Veena and how much she loves him. He promises Felix a large sum of money which he will pay off from the necklace's price. He does not reveal this to Veena. He develops feelings of love for her, but does not express them to her. Veena comes to know of Gopi's sacrifice for her despite having his own big problems. Veena calls off her wedding with Felix as she realises that he only longs for riches and money and does not love her. Gopi proposes to her and she agrees. Both set off to start a new journey of their life."
Unstoppable,"While moving a train pulled by AWVR AC4400CW's #777 and #767 at the Veteran Allegheny and West Virginia Railroad (AWVR) trainyard in the fictional city of Fuller, Pennsylvania, the two hostlers, Dewey and Gilleece, take ill-advised shortcuts and accidentally allow the engine to leave the train-yard on its own power without the air brakes engaged. Initially believing the train to be a ""coaster"", yardmaster Connie Hooper orders Dewey, Gilleece, and chief welder Ned Oldham to drive and catch up the train to stop it. When Oldham finds that the train has already passed where it was supposed to be, they realize that the train is running on full power and now poses a dangerous threat. Dewey and Gilleece manage to catch up to 777 using a high railing truck but fail to board the train in time. Hooper alerts Oscar Galvin, director of operations for AWVR, and also instructs the local and state police and sheriffs to secure all the grade crossings to prevent injury. Visiting Federal Railroad Administration safety inspector Scott Werner warns that eight cars being pulled by 777 contain highly toxic, and highly flammable, molten phenol, which would be a major disaster if the train should crash or derail in a populated area. Triple 7 is also filled with around 5,000 gallons of diesel fuel, which poses another serious threat. News of the runaway train soon becomes a media event. However, Hooper suggests they purposely derail the train, but Galvin disagrees and believes they can safely stop the train by lashing it behind two slower-moving diesel engines helmed by veteran engineer Judd Stewart, slowing it down long enough for AWVR employee and former U.S. Marine Ryan Scott to descend via helicopter to 777's cab and stop the train manually. Though the lashing initially works, a sudden hard bump knocks Scott out and derails the two diesel engines, causing them to explode, which ultimately kills Stewart in the process. They realize that 777, traveling at its current speed, will certainly derail on ""Devil's Curve"", a tight, elevated portion of track in the middle of the city of Stanton and would supposedly crash into a large fuel depot near the curve on the eastern side of the state. Plans are made to purposely derail the train outside the town of Arklow using a portable derailer. Meanwhile, retiring AWVR engineer Frank Barnes and conductor Will Colson, a new hire looking to turn his life around after an incident with his now estranged wife, are pulling several cars with SD40-2 #1206 from Stanton. Though originally aware of 777 coasting away from the Fuller train yard, they are ordered at the last minute to pull into a Repair-In-Place track, making it just in time as 777 races by and clipping the last few cars they are pulling. Barnes observes that the last car on 777 has an open knuckle, which means that if they could catch up to the train, they could couple their engine to 777 and use their own brakes to slow the train before it reaches Stanton. As Colson unhitches their cars to give them the best chance of catching up, Barnes reports his plan to Hooper and Galvin and warns them that the derailing idea will not work given 777's momentum, but Galvin threatens to fire Barnes if he continues. Given that AWVR has already given him a forced early retirement notice, Barnes ignores Galvin and sets 1206 on course to catch up with 777. As 777 passes Arklow, police attempt to shoot the fuel shutoff switch on the engine, but fail to hit it. As Barnes predicts, the train barrels through the derailers without slowing down or derailing. Hooper and Werner fully support Barnes's plan and take over control of the situation from Galvin. Barnes and Colson catch up to 777 and attempt to engage the coupling. Their attempts to connect with 777 cause the grain car seal to break and leak grain at a blinding rate. Colson notices the locking pin on the coupler is not engaged. He attempts to kick it in but the pair again hit 1206 and Colson gets his right foot crushed in the process. However, he is able to hold on enough to fully engage the locking pin. Barnes works his way across 777 to its cab, manually engaging the brakes on the freight cars along the way, while Colson engages 1206's dynamic brakes, which initially slow down 777, but would prove to be no match for 777's speed. They are able to reduce the speed slow enough to clear the Stanton Curve without derailing by using the independent brake, but 777 remains out of control and threatens to crash into the Stanton train yard. Despite attempting to reach the locomotive by jumping on the cars, Barnes finds his path blocked to 777's cab, but Oldham arrives in his truck with a police convoy and drives on a parallel road to the tracks. Colson jumps to Oldham's truck, and Oldham drives him up to the front of 777 allowing Colson to get into the cab and engage the brakes. 777 is safely stopped before it reaches the end of the line. Barnes, Colson, and Oldham are heralded as heroes, with Barnes retiring (with full benefits) and Colson reuniting with his wife and child. Hooper is promoted to Galvin's former position for her leadership, Ryan Scott recovered from his injuries and Dewey goes to work in the fast food industry, indicating he was fired."
The Arnelo Affair,"A lawyer's wife, Anne Parkson(Frances Gifford) is bored and neglected. She begins meeting with one of her husbands clients, a nightclub owner Tony Arnelo (John Hodiak) for interior design work. One afternoon she arrives at Tony's and soon after Tony's girlfriend shows up. The girlfriend is upset by Anne being there and starts making a fuss. Tony arrives, hits the girlfriend, and Anne Parkson runs out. Soon after police find Anne's unique compact near the body of Arnelo's murdered girlfriend. Tony planted the compact in a clever plot, Anne finds herself blackmailed and implicated in murder. Tony is in love with Anne and attempts to force her into leaving her husband. A homicide detective soon figures out the facts and confronts Tony. When Tony is made to realize that his lies and blackmail will destroy innocent Anne's place in society, he commits ""suicide by cop"" attempting to escape the detective's custody."
